"rideable_type","member_casual","month","Mean_Ride_Time","Year"
"classic_bike","casual","December",34.8830841151942,2023
"classic_bike","casual","February",25.1373771511952,2023
"classic_bike","casual","January",22.4521520837827,2023
"classic_bike","casual","July",31.9991470817411,2023
"classic_bike","casual","June",31.2972367074349,2023
"classic_bike","casual","March",26.0072625411184,2023
"classic_bike","casual","May",31.881457842862,2023
"classic_bike","casual","November",30.4568473994688,2023
"classic_bike","casual","October",34.1841028785802,2023
"classic_bike","casual","September",35.4307345705153,2023
"classic_bike","member","April",13.3839322018002,2023
"classic_bike","member","August",15.1206093536313,2023
"classic_bike","member","December",13.1021215723569,2023
"classic_bike","member","February",11.6065786642279,2023
"classic_bike","member","January",11.1788267766359,2023
"classic_bike","member","July",15.1850755765161,2023
"classic_bike","member","June",14.6226494272716,2023
"classic_bike","member","March",11.7017757084004,2023
"classic_bike","member","May",14.7445865788291,2023
"classic_bike","member","November",12.7004702812207,2023
"classic_bike","member","October",13.4842767431438,2023
"classic_bike","member","September",14.2478907140909,2023
"docked_bike","casual","April",143.707730392708,2023
"docked_bike","casual","August",260.615293183765,2023
"docked_bike","casual","February",150.82801063022,2023
"docked_bike","casual","January",212.103298810894,2023
"docked_bike","casual","July",186.41918421624,2023
"docked_bike","casual","June",171.614782289301,2023
"docked_bike","casual","March",132.376953642384,2023
"docked_bike","casual","May",135.376386342805,2023
"electric_bike","casual","April",14.1742777386712,2023
"electric_bike","casual","August",14.9122004743745,2023
"electric_bike","casual","December",10.1351971716654,2023
"electric_bike","casual","February",10.9185661934327,2023
"electric_bike","casual","January",9.68163868478305,2023
"electric_bike","casual","July",15.9194639482825,2023
"electric_bike","casual","June",15.5556056551654,2023
"electric_bike","casual","March",10.7259723096287,2023
"electric_bike","casual","May",15.2095918520882,2023
"electric_bike","casual","November",11.0472225704206,2023
"electric_bike","casual","October",12.8496315425164,2023
"electric_bike","casual","September",14.7124121258021,2023
"electric_bike","member","April",10.4048804370233,2023
"electric_bike","member","August",12.1931413253156,2023
"electric_bike","member","December",9.86792250503128,2023
"electric_bike","member","February",9.80634439502794,2023
"electric_bike","member","January",9.51731815229745,2023
"electric_bike","member","July",12.1819969683566,2023
"electric_bike","member","June",11.9349109900829,2023
"electric_bike","member","March",9.42824804777216,2023
"electric_bike","member","May",11.4768565305915,2023
"electric_bike","member","November",10.0771375084918,2023
"electric_bike","member","October",10.7373997921969,2023
"electric_bike","member","September",11.892627197609,2023
"classic_bike","casual","April",40.8942187400912,2024
"classic_bike","casual","August",37.6696970139516,2024
"classic_bike","casual","December",31.8558637903913,2024
"classic_bike","casual","February",34.4773327100787,2024
"classic_bike","casual","January",37.4781647689216,2024
"classic_bike","casual","July",39.9876770898048,2024
"classic_bike","casual","June",41.2771437621276,2024
"classic_bike","casual","March",38.1381683243298,2024
"classic_bike","casual","May",40.3504571187695,2024
"classic_bike","casual","November",30.9769876024389,2024
"classic_bike","casual","October",35.1575433150206,2024
"classic_bike","casual","September",35.8713572174321,2024
"classic_bike","member","April",14.6823850293043,2024
"classic_bike","member","August",15.0142422763176,2024
"classic_bike","member","December",12.1197046892457,2024
"classic_bike","member","February",14.0938875704055,2024
"classic_bike","member","January",17.1700383912986,2024
"classic_bike","member","July",15.3784433136407,2024
"classic_bike","member","June",15.9563361239987,2024
"classic_bike","member","March",13.9052115261081,2024
"classic_bike","member","May",15.3027660964145,2024
"classic_bike","member","November",12.3911338365741,2024
"classic_bike","member","October",13.3205598330894,2024
"classic_bike","member","September",13.9891606273436,2024
"electric_bike","casual","April",14.3635511976682,2024
"electric_bike","casual","August",15.3655916948452,2024
"electric_bike","casual","December",10.0858858029015,2024
"electric_bike","casual","February",11.8427509645859,2024
"electric_bike","casual","January",9.23648130963428,2024
"electric_bike","casual","July",15.9446041562341,2024
"electric_bike","casual","June",15.5572094599583,2024
"electric_bike","casual","March",12.7916457052357,2024
"electric_bike","casual","May",15.4732484614354,2024
"electric_bike","casual","November",11.0318357604967,2024
"electric_bike","casual","October",13.4106629274524,2024
"electric_bike","casual","September",14.6007419175979,2024
"electric_bike","member","April",10.3641548352999,2024
"electric_bike","member","August",11.9801962252623,2024
"electric_bike","member","December",9.80299541985756,2024
"electric_bike","member","February",10.8229883880857,2024
"electric_bike","member","January",9.67697356717398,2024
"electric_bike","member","July",12.1207043831758,2024
"electric_bike","member","June",11.9975924223338,2024
"electric_bike","member","March",10.0543066435502,2024
"electric_bike","member","May",11.6891041856227,2024
"electric_bike","member","November",10.0301202506719,2024
"electric_bike","member","October",10.8720821951311,2024
"electric_bike","member","September",11.6922214782991,2024
"electric_scooter","casual","August",36.549024338697,2024
"electric_scooter","casual","September",11.9194424378391,2024
"electric_scooter","member","August",19.3611473683725,2024
"electric_scooter","member","September",8.23610110118393,2024
