"member_casual","Date","month","rideable_type","total_rides","Year"
"casual",2,"February","docked_bike",12,2021
"casual",2,"February","electric_bike",119,2021
"casual",3,"February","classic_bike",188,2021
"casual",3,"February","docked_bike",26,2021
"casual",3,"February","electric_bike",152,2021
"casual",4,"February","classic_bike",92,2021
"casual",4,"February","docked_bike",6,2021
"casual",4,"February","electric_bike",101,2021
"casual",5,"February","classic_bike",73,2021
"casual",5,"February","docked_bike",7,2021
"casual",5,"February","electric_bike",69,2021
"casual",6,"February","classic_bike",67,2021
"casual",6,"February","docked_bike",18,2021
"casual",6,"February","electric_bike",38,2021
"casual",7,"February","classic_bike",62,2021
"casual",7,"February","docked_bike",10,2021
"casual",7,"February","electric_bike",9,2021
"casual",8,"February","classic_bike",59,2021
"casual",8,"February","docked_bike",5,2021
"casual",8,"February","electric_bike",18,2021
"casual",9,"February","classic_bike",105,2021
"casual",9,"February","docked_bike",6,2021
"casual",9,"February","electric_bike",30,2021
"casual",10,"February","classic_bike",88,2021
"casual",10,"February","docked_bike",7,2021
"casual",10,"February","electric_bike",49,2021
"casual",11,"February","classic_bike",91,2021
"casual",11,"February","docked_bike",5,2021
"casual",11,"February","electric_bike",82,2021
"casual",12,"February","classic_bike",174,2021
"casual",12,"February","docked_bike",19,2021
"casual",12,"February","electric_bike",103,2021
"casual",13,"February","classic_bike",69,2021
"casual",13,"February","docked_bike",9,2021
"casual",13,"February","electric_bike",64,2021
"casual",14,"February","classic_bike",82,2021
"casual",14,"February","docked_bike",6,2021
"casual",14,"February","electric_bike",9,2021
"casual",15,"February","classic_bike",23,2021
"casual",15,"February","docked_bike",1,2021
"casual",15,"February","electric_bike",11,2021
"casual",16,"February","classic_bike",37,2021
"casual",16,"February","docked_bike",3,2021
"casual",16,"February","electric_bike",13,2021
"casual",17,"February","classic_bike",51,2021
"casual",17,"February","docked_bike",2,2021
"casual",17,"February","electric_bike",32,2021
"casual",18,"February","classic_bike",66,2021
"casual",18,"February","docked_bike",6,2021
"casual",18,"February","electric_bike",38,2021
"casual",19,"February","classic_bike",81,2021
"casual",19,"February","docked_bike",11,2021
"casual",19,"February","electric_bike",71,2021
"casual",20,"February","classic_bike",119,2021
"casual",20,"February","docked_bike",18,2021
"casual",20,"February","electric_bike",65,2021
"casual",21,"February","classic_bike",110,2021
"casual",21,"February","docked_bike",14,2021
"casual",21,"February","electric_bike",58,2021
"casual",22,"February","classic_bike",113,2021
"casual",22,"February","docked_bike",10,2021
"casual",22,"February","electric_bike",85,2021
"casual",23,"February","classic_bike",302,2021
"casual",23,"February","docked_bike",64,2021
"casual",23,"February","electric_bike",161,2021
"casual",24,"February","classic_bike",296,2021
"casual",24,"February","docked_bike",58,2021
"casual",24,"February","electric_bike",174,2021
"casual",25,"February","classic_bike",313,2021
"casual",25,"February","docked_bike",58,2021
"casual",25,"February","electric_bike",184,2021
"casual",26,"February","classic_bike",468,2021
"casual",26,"February","docked_bike",140,2021
"casual",26,"February","electric_bike",280,2021
"casual",27,"February","classic_bike",1762,2021
"casual",27,"February","docked_bike",562,2021
"casual",27,"February","electric_bike",694,2021
"casual",28,"February","classic_bike",532,2021
"casual",28,"February","docked_bike",172,2021
"casual",28,"February","electric_bike",329,2021
"member",1,"February","classic_bike",1126,2021
"member",1,"February","electric_bike",411,2021
"member",2,"February","classic_bike",1436,2021
"member",2,"February","electric_bike",595,2021
"member",3,"February","classic_bike",1667,2021
"member",3,"February","electric_bike",677,2021
"member",4,"February","classic_bike",1015,2021
"member",4,"February","electric_bike",507,2021
"member",5,"February","classic_bike",786,2021
"member",5,"February","electric_bike",391,2021
"member",6,"February","classic_bike",489,2021
"member",6,"February","electric_bike",247,2021
"member",7,"February","classic_bike",427,2021
"member",7,"February","electric_bike",61,2021
"member",8,"February","classic_bike",729,2021
