"Time_Range","member_casual","month","rideable_type","count","Year"
"4-6","casual","March","docked_bike",51,2021
"4-6","casual","March","electric_bike",202,2021
"4-6","member","March","classic_bike",1281,2021
"4-6","member","March","electric_bike",452,2021
"6-8","casual","March","classic_bike",950,2021
"6-8","casual","March","docked_bike",172,2021
"6-8","casual","March","electric_bike",626,2021
"6-8","member","March","classic_bike",8553,2021
"6-8","member","March","electric_bike",2789,2021
"8-10","casual","March","classic_bike",2115,2021
"8-10","casual","March","docked_bike",457,2021
"8-10","casual","March","electric_bike",1179,2021
"8-10","member","March","classic_bike",10170,2021
"8-10","member","March","electric_bike",3386,2021
"10-12","casual","March","classic_bike",4669,2021
"10-12","casual","March","docked_bike",1414,2021
"10-12","casual","March","electric_bike",2228,2021
"10-12","member","March","classic_bike",10523,2021
"10-12","member","March","electric_bike",3701,2021
"12-14","casual","March","classic_bike",7821,2021
"12-14","casual","March","docked_bike",2638,2021
"12-14","casual","March","electric_bike",3565,2021
"12-14","member","March","classic_bike",15232,2021
"12-14","member","March","electric_bike",5111,2021
"14-16","casual","March","classic_bike",8969,2021
"14-16","casual","March","docked_bike",3432,2021
"14-16","casual","March","electric_bike",4049,2021
"14-16","member","March","classic_bike",15831,2021
"14-16","member","March","electric_bike",5319,2021
"16-18","casual","March","classic_bike",9815,2021
"16-18","casual","March","docked_bike",3421,2021
"16-18","casual","March","electric_bike",4601,2021
"16-18","member","March","classic_bike",22161,2021
"16-18","member","March","electric_bike",7037,2021
"18-20","casual","March","classic_bike",5762,2021
"18-20","casual","March","docked_bike",1830,2021
"18-20","casual","March","electric_bike",3038,2021
"18-20","member","March","classic_bike",14784,2021
"18-20","member","March","electric_bike",5281,2021
"20-22","casual","March","classic_bike",2433,2021
"20-22","casual","March","docked_bike",1035,2021
"20-22","casual","March","electric_bike",1404,2021
"20-22","member","March","classic_bike",4993,2021
"20-22","member","March","electric_bike",2265,2021
"22-24","casual","March","classic_bike",1611,2021
"22-24","casual","March","docked_bike",716,2021
"22-24","casual","March","electric_bike",1173,2021
"22-24","member","March","classic_bike",2308,2021
"22-24","member","March","electric_bike",1312,2021
"0-2","casual","April","classic_bike",1910,2021
"0-2","casual","April","docked_bike",812,2021
"0-2","casual","April","electric_bike",1404,2021
"0-2","member","April","classic_bike",1715,2021
"0-2","member","April","electric_bike",1188,2021
"2-4","casual","April","classic_bike",429,2021
"2-4","casual","April","docked_bike",212,2021
"2-4","casual","April","electric_bike",364,2021
"2-4","member","April","classic_bike",399,2021
"2-4","member","April","electric_bike",349,2021
"4-6","casual","April","classic_bike",346,2021
"4-6","casual","April","docked_bike",95,2021
"4-6","casual","April","electric_bike",370,2021
"4-6","member","April","classic_bike",1606,2021
"4-6","member","April","electric_bike",624,2021
"6-8","casual","April","classic_bike",1469,2021
"6-8","casual","April","docked_bike",182,2021
"6-8","casual","April","electric_bike",1181,2021
"6-8","member","April","classic_bike",10405,2021
"6-8","member","April","electric_bike",3775,2021
"8-10","casual","April","classic_bike",3133,2021
"8-10","casual","April","docked_bike",817,2021
"8-10","casual","April","electric_bike",2129,2021
"8-10","member","April","classic_bike",13033,2021
"8-10","member","April","electric_bike",5084,2021
"10-12","casual","April","classic_bike",6472,2021
"10-12","casual","April","docked_bike",2024,2021
"10-12","casual","April","electric_bike",3384,2021
"10-12","member","April","classic_bike",13034,2021
"10-12","member","April","electric_bike",5137,2021
"12-14","casual","April","classic_bike",10251,2021
"12-14","casual","April","docked_bike",3593,2021
"12-14","casual","April","electric_bike",5200,2021
"12-14","member","April","classic_bike",17773,2021
"12-14","member","April","electric_bike",6753,2021
"14-16","casual","April","classic_bike",11076,2021
"14-16","casual","April","docked_bike",4387,2021
"14-16","casual","April","electric_bike",6114,2021
"14-16","member","April","classic_bike",18862,2021
"14-16","member","April","electric_bike",7362,2021
"16-18","casual","April","classic_bike",14729,2021
"16-18","casual","April","docked_bike",4870,2021
"16-18","casual","April","electric_bike",7972,2021
"16-18","member","April","classic_bike",29271,2021
"16-18","member","April","electric_bike",10326,2021
"18-20","casual","April","classic_bike",12219,2021
"18-20","casual","April","docked_bike",3975,2021
"18-20","casual","April","electric_bike",6914,2021
"18-20","member","April","classic_bike",24617,2021
"18-20","member","April","electric_bike",9024,2021
"20-22","casual","April","classic_bike",5192,2021
"20-22","casual","April","docked_bike",2143,2021
"20-22","casual","April","electric_bike",3471,2021
"20-22","member","April","classic_bike",8869,2021
"20-22","member","April","electric_bike",4510,2021
"22-24","casual","April","classic_bike",3550,2021
"22-24","casual","April","docked_bike",1604,2021
"22-24","casual","April","electric_bike",2608,2021
"22-24","member","April","classic_bike",4259,2021
"22-24","member","April","electric_bike",2654,2021
"0-2","casual","May","classic_bike",4133,2021
"0-2","casual","May","docked_bike",1803,2021
"0-2","casual","May","electric_bike",3499,2021
"0-2","member","May","classic_bike",2907,2021
"0-2","member","May","electric_bike",2185,2021
"2-4","casual","May","classic_bike",1422,2021
"2-4","casual","May","docked_bike",625,2021
"2-4","casual","May","electric_bike",1321,2021
"2-4","member","May","classic_bike",847,2021
"2-4","member","May","electric_bike",807,2021
"4-6","casual","May","classic_bike",625,2021
"4-6","casual","May","docked_bike",210,2021
"4-6","casual","May","electric_bike",758,2021
"4-6","member","May","classic_bike",1907,2021
"4-6","member","May","electric_bike",1114,2021
"6-8","casual","May","classic_bike",2331,2021
"6-8","casual","May","docked_bike",461,2021
"6-8","casual","May","electric_bike",2345,2021
"6-8","member","May","classic_bike",12589,2021
"6-8","member","May","electric_bike",5634,2021
"8-10","casual","May","classic_bike",5867,2021
"8-10","casual","May","docked_bike",1584,2021
"8-10","casual","May","electric_bike",4523,2021
"8-10","member","May","classic_bike",16757,2021
"8-10","member","May","electric_bike",7839,2021
"10-12","casual","May","classic_bike",12351,2021
