"Day","month","member_casual","rideable_type","mean_count","Year"
"Fri","April","casual","docked_bike",735,2021
"Fri","April","casual","electric_bike",1549,2021
"Fri","April","member","classic_bike",5030,2021
"Fri","April","member","electric_bike",2129,2021
"Sat","April","casual","classic_bike",3709,2021
"Sat","April","casual","docked_bike",1417,2021
"Sat","April","casual","electric_bike",1806,2021
"Sat","April","member","classic_bike",4812,2021
"Sat","April","member","electric_bike",1852,2021
"Sun","May","casual","classic_bike",6302,2021
"Sun","May","casual","docked_bike",2443,2021
"Sun","May","casual","electric_bike",3686,2021
"Sun","May","member","classic_bike",5885,2021
"Sun","May","member","electric_bike",2536,2021
"Mon","May","casual","classic_bike",3194,2021
"Mon","May","casual","docked_bike",1221,2021
"Mon","May","casual","electric_bike",2469,2021
"Mon","May","member","classic_bike",5684,2021
"Mon","May","member","electric_bike",2632,2021
"Tue","May","casual","classic_bike",2059,2021
"Tue","May","casual","docked_bike",613,2021
"Tue","May","casual","electric_bike",1976,2021
"Tue","May","member","classic_bike",5548,2021
"Tue","May","member","electric_bike",2806,2021
"Wed","May","casual","classic_bike",2702,2021
"Wed","May","casual","docked_bike",716,2021
"Wed","May","casual","electric_bike",2372,2021
"Wed","May","member","classic_bike",6586,2021
"Wed","May","member","electric_bike",3272,2021
"Thu","May","casual","classic_bike",2554,2021
"Thu","May","casual","docked_bike",764,2021
"Thu","May","casual","electric_bike",2394,2021
"Thu","May","member","classic_bike",5874,2021
"Thu","May","member","electric_bike",3050,2021
"Fri","May","casual","classic_bike",3386,2021
"Fri","May","casual","docked_bike",1176,2021
"Fri","May","casual","electric_bike",3045,2021
"Fri","May","member","classic_bike",5788,2021
"Fri","May","member","electric_bike",3160,2021
"Sat","May","casual","classic_bike",6732,2021
"Sat","May","casual","docked_bike",2391,2021
"Sat","May","casual","electric_bike",3938,2021
"Sat","May","member","classic_bike",6422,2021
"Sat","May","member","electric_bike",2917,2021
"Sun","June","casual","classic_bike",9502,2021
"Sun","June","casual","docked_bike",2742,2021
"Sun","June","casual","electric_bike",4988,2021
"Sun","June","member","classic_bike",8010,2021
"Sun","June","member","electric_bike",3197,2021
"Mon","June","casual","classic_bike",4148,2021
"Mon","June","casual","docked_bike",1159,2021
"Mon","June","casual","electric_bike",3462,2021
"Mon","June","member","classic_bike",7540,2021
"Mon","June","member","electric_bike",3426,2021
"Tue","June","casual","classic_bike",4547,2021
"Tue","June","casual","docked_bike",1275,2021
"Tue","June","casual","electric_bike",3793,2021
"Tue","June","member","classic_bike",8454,2021
"Tue","June","member","electric_bike",3856,2021
"Wed","June","casual","classic_bike",4736,2021
"Wed","June","casual","docked_bike",1181,2021
"Wed","June","casual","electric_bike",3818,2021
"Wed","June","member","classic_bike",8934,2021
"Wed","June","member","electric_bike",4037,2021
"Thu","June","casual","classic_bike",4950,2021
"Thu","June","casual","docked_bike",1284,2021
"Thu","June","casual","electric_bike",4121,2021
"Thu","June","member","classic_bike",8340,2021
"Thu","June","member","electric_bike",4003,2021
"Fri","June","casual","classic_bike",6529,2021
"Fri","June","casual","docked_bike",1865,2021
"Fri","June","casual","electric_bike",4800,2021
"Fri","June","member","classic_bike",8030,2021
"Fri","June","member","electric_bike",3937,2021
